"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"01.03.2011","5.282,29","5.257,05","5.303,41","5.255,71","","0,89%"
"28.02.2011","5.235,49","5.189,37","5.235,77","5.182,74","","1,21%"
"25.02.2011","5.173,14","5.092,61","5.178,00","5.091,07","","1,65%"
"24.02.2011","5.088,92","5.132,60","5.132,60","5.067,59","","-1,17%"
"23.02.2011","5.148,99","5.202,62","5.207,74","5.133,84","","-1,29%"
"22.02.2011","5.216,24","5.234,43","5.234,43","5.168,96","","-0,82%"
"21.02.2011","5.259,39","5.314,04","5.319,14","5.247,20","","-1,02%"
"18.02.2011","5.313,83","5.302,24","5.314,07","5.289,93","","0,33%"
"17.02.2011","5.296,60","5.318,99","5.321,44","5.291,21","","-0,38%"
"16.02.2011","5.316,95","5.348,87","5.350,67","5.313,84","","-0,49%"
"15.02.2011","5.343,12","5.356,44","5.361,77","5.334,16","","-0,20%"
"14.02.2011","5.353,58","5.317,67","5.357,99","5.316,18","","0,97%"
"11.02.2011","5.302,04","5.293,48","5.307,24","5.280,64","","0,22%"
"10.02.2011","5.290,44","5.308,61","5.320,20","5.278,05","","-0,32%"
"09.02.2011","5.307,33","5.313,80","5.329,93","5.302,40","","-0,04%"
"08.02.2011","5.309,55","5.298,50","5.310,45","5.273,51","","0,06%"
"07.02.2011","5.306,43","5.267,36","5.307,01","5.267,24","","1,01%"
"04.02.2011","5.253,50","5.257,77","5.266,26","5.245,74","","0,11%"
"03.02.2011","5.247,59","5.254,32","5.254,58","5.230,74","","-0,05%"
"02.02.2011","5.250,28","5.244,63","5.257,03","5.234,31","","0,28%"
"01.02.2011","5.235,53","5.162,09","5.235,53","5.162,09","","1,70%"
"31.01.2011","5.148,24","5.174,19","5.175,45","5.122,11","","-0,63%"
"28.01.2011","5.181,05","5.189,29","5.211,21","5.173,59","","-0,20%"
"27.01.2011","5.191,32","5.172,73","5.201,62","5.164,77","","0,48%"
"26.01.2011","5.166,31","5.134,57","5.177,36","5.131,46","","0,81%"
"25.01.2011","5.124,65","5.120,03","5.143,44","5.120,03","","0,04%"
"24.01.2011","5.122,83","5.148,67","5.154,25","5.112,26","","-0,06%"
"21.01.2011","5.126,09","5.111,79","5.140,87","5.107,13","","0,46%"
"20.01.2011","5.102,60","5.186,61","5.187,33","5.100,93","","-1,80%"
"19.01.2011","5.196,06","5.214,17","5.223,10","5.186,98","","-0,23%"
"18.01.2011","5.208,13","5.175,05","5.208,13","5.175,05","","0,53%"
"17.01.2011","5.180,75","5.169,86","5.180,75","5.162,76","","0,29%"
"14.01.2011","5.165,63","5.174,91","5.180,72","5.131,53","","-0,31%"
"13.01.2011","5.181,88","5.203,61","5.206,90","5.165,75","","-0,45%"
"12.01.2011","5.205,07","5.186,84","5.210,25","5.186,84","","0,32%"
"11.01.2011","5.188,66","5.152,17","5.188,66","5.141,09","","0,91%"
"10.01.2011","5.142,11","5.206,00","5.209,88","5.142,11","","-1,38%"
"07.01.2011","5.214,28","5.239,41","5.239,41","5.214,28","","-0,43%"
"06.01.2011","5.236,68","5.236,96","5.262,07","5.223,37","","0,15%"
"05.01.2011","5.228,95","5.287,22","5.287,22","5.192,84","","-0,99%"
"04.01.2011","5.281,27","5.248,05","5.289,81","5.248,05","","0,69%"
"03.01.2011","5.245,33","5.176,42","5.245,97","5.176,42","","1,38%"
"30.12.2010","5.173,79","5.176,08","5.184,59","5.163,91","","-0,09%"
"29.12.2010","5.178,37","5.149,22","5.178,69","5.149,22","","0,42%"
"28.12.2010","5.156,67","5.135,15","5.156,67","5.121,08","","0,37%"
"27.12.2010","5.137,83","5.154,80","5.155,25","5.103,10","","-0,39%"
"23.12.2010","5.157,70","5.167,30","5.169,06","5.137,46","","-0,34%"
"22.12.2010","5.175,36","5.134,96","5.175,36","5.129,48","","0,73%"
"21.12.2010","5.137,94","5.083,56","5.137,94","5.083,56","","1,09%"
"20.12.2010","5.082,45","5.055,70","5.083,89","5.047,57","","0,44%"
"17.12.2010","5.059,94","5.058,80","5.078,87","5.055,95","","-0,06%"
"16.12.2010","5.062,92","5.058,40","5.066,32","5.044,48","","-0,14%"
"15.12.2010","5.070,22","5.033,96","5.070,22","4.993,01","","0,59%"
"14.12.2010","5.040,42","5.018,18","5.040,42","5.014,71","","0,49%"
"13.12.2010","5.015,89","5.008,88","5.024,25","5.000,07","","0,43%"
"10.12.2010","4.994,36","4.997,56","5.000,92","4.986,32","","0,08%"
"09.12.2010","4.990,35","4.977,04","5.006,20","4.971,36","","0,16%"
"08.12.2010","4.982,17","4.953,61","4.982,77","4.948,10","","0,29%"
"07.12.2010","4.967,81","4.955,63","4.989,92","4.945,62","","0,33%"
"06.12.2010","4.951,70","4.875,83","4.951,70","4.875,83","","1,71%"
"03.12.2010","4.868,51","4.872,28","4.873,32","4.844,02","","-0,12%"
"02.12.2010","4.874,14","4.796,12","4.874,14","4.796,12","","1,71%"
"01.12.2010","4.792,10","4.729,07","4.792,83","4.729,07","","1,39%"
"30.11.2010","4.726,48","4.739,39","4.751,00","4.707,68","","-0,40%"
"29.11.2010","4.745,44","4.759,96","4.797,13","4.741,86","","-0,06%"
"26.11.2010","4.748,27","4.747,12","4.755,11","4.717,72","","-0,16%"
"25.11.2010","4.756,04","4.690,99","4.756,04","4.690,99","","1,50%"
"24.11.2010","4.685,79","4.619,87","4.685,79","4.618,59","","1,47%"
"23.11.2010","4.618,06","4.660,48","4.660,48","4.617,18","","-1,08%"
"22.11.2010","4.668,36","4.705,73","4.717,51","4.661,79","","-0,51%"
"19.11.2010","4.692,52","4.707,12","4.710,95","4.678,94","","-0,12%"
"18.11.2010","4.698,09","4.644,55","4.707,95","4.644,55","","1,42%"
"17.11.2010","4.632,16","4.603,20","4.640,29","4.601,74","","0,50%"
"16.11.2010","4.608,91","4.697,47","4.697,91","4.608,91","","-2,00%"
"15.11.2010","4.703,12","4.647,35","4.703,12","4.644,17","","1,34%"
"12.11.2010","4.641,08","4.627,09","4.655,91","4.581,13","","0,08%"
"11.11.2010","4.637,25","4.704,17","4.705,29","4.628,98","","-1,26%"
"10.11.2010","4.696,56","4.777,16","4.777,16","4.695,44","","-1,55%"
"09.11.2010","4.770,57","4.777,79","4.787,76","4.761,67","","-0,25%"
"08.11.2010","4.782,33","4.782,66","4.784,57","4.765,88","","-0,03%"
"05.11.2010","4.783,70","4.753,52","4.783,70","4.752,22","","0,69%"
"04.11.2010","4.750,74","4.731,05","4.756,83","4.731,05","","0,75%"
"03.11.2010","4.715,53","4.731,00","4.746,40","4.715,18","","-0,49%"
"02.11.2010","4.738,87","4.730,88","4.739,51","4.719,82","","0,28%"
"01.11.2010","4.725,73","4.730,36","4.745,81","4.723,57","","0,15%"
"29.10.2010","4.718,82","4.716,27","4.722,64","4.683,49","","0,14%"
"28.10.2010","4.712,21","4.728,28","4.729,12","4.703,12","","-0,11%"
"27.10.2010","4.717,18","4.708,41","4.733,26","4.702,14","","0,25%"
"26.10.2010","4.705,40","4.709,76","4.717,80","4.694,12","","-0,05%"
"25.10.2010","4.707,73","4.669,16","4.714,09","4.664,17","","1,21%"
"22.10.2010","4.651,66","4.615,68","4.651,66","4.615,68","","0,51%"
"21.10.2010","4.627,84","4.595,88","4.627,84","4.570,44","","0,71%"
"20.10.2010","4.595,24","4.606,64","4.608,84","4.584,21","","-0,37%"
"19.10.2010","4.612,31","4.620,09","4.648,17","4.602,37","","-0,09%"
"18.10.2010","4.616,39","4.577,59","4.617,13","4.572,16","","0,82%"
"15.10.2010","4.578,70","4.562,43","4.578,70","4.542,48","","0,44%"
"14.10.2010","4.558,53","4.546,29","4.565,32","4.540,37","","0,35%"
"13.10.2010","4.542,49","4.513,18","4.544,01","4.511,40","","0,83%"
"12.10.2010","4.505,21","4.467,92","4.506,68","4.443,65","","0,61%"
"11.10.2010","4.477,82","4.456,73","4.483,98","4.454,67","","0,74%"
"08.10.2010","4.444,82","4.430,57","4.445,56","4.423,37","","0,22%"
"07.10.2010","4.435,07","4.403,70","4.435,07","4.393,08","","0,56%"
"06.10.2010","4.410,55","4.393,27","4.410,55","4.386,44","","0,71%"
"05.10.2010","4.379,51","4.339,71","4.379,51","4.334,47","","0,85%"
"04.10.2010","4.342,74","4.370,69","4.371,78","4.342,74","","-0,60%"
"01.10.2010","4.369,11","4.373,86","4.376,63","4.359,86","","-0,01%"
"30.09.2010","4.369,76","4.331,53","4.369,76","4.321,98","","0,84%"
"29.09.2010","4.333,26","4.310,62","4.333,26","4.300,83","","0,65%"
"28.09.2010","4.305,08","4.298,04","4.310,33","4.276,15","","0,07%"
"27.09.2010","4.302,10","4.297,62","4.325,74","4.292,87","","0,33%"
"24.09.2010","4.287,76","4.236,72","4.287,76","4.232,30","","1,06%"
"23.09.2010","4.242,69","4.248,64","4.262,27","4.229,39","","-0,17%"
"22.09.2010","4.249,81","4.294,71","4.294,71","4.249,72","","-0,84%"
"21.09.2010","4.286,02","4.275,90","4.287,96","4.265,33","","0,32%"
"20.09.2010","4.272,39","4.242,41","4.272,39","4.242,39","","0,81%"
"17.09.2010","4.238,16","4.245,79","4.270,76","4.238,16","","-0,02%"
"16.09.2010","4.239,18","4.240,38","4.254,04","4.235,51","","-0,11%"
"15.09.2010","4.243,73","4.259,15","4.266,29","4.242,99","","-0,43%"
"14.09.2010","4.262,16","4.281,96","4.282,14","4.259,60","","-0,26%"
"13.09.2010","4.273,38","4.262,58","4.273,62","4.261,10","","0,28%"
"10.09.2010","4.261,37","4.225,10","4.261,37","4.225,10","","0,54%"
"09.09.2010","4.238,67","4.240,70","4.243,86","4.223,28","","-0,07%"
"08.09.2010","4.241,52","4.207,65","4.241,52","4.188,74","","0,63%"
"07.09.2010","4.214,83","4.217,86","4.219,45","4.202,75","","-0,14%"
"06.09.2010","4.220,93","4.203,93","4.221,14","4.201,81","","0,68%"
"03.09.2010","4.192,38","4.178,03","4.193,24","4.177,92","","0,52%"
"02.09.2010","4.170,58","4.174,82","4.184,28","4.167,02","","-0,14%"
"01.09.2010","4.176,31","4.117,57","4.176,31","4.100,71","","1,52%"
"31.08.2010","4.113,62","4.088,13","4.113,62","4.063,58","","0,30%"
"30.08.2010","4.101,27","4.103,16","4.104,70","4.085,83","","0,08%"
"27.08.2010","4.098,17","4.060,79","4.098,17","4.058,99","","1,11%"
"26.08.2010","4.053,33","4.036,02","4.057,33","4.034,65","","0,66%"
"25.08.2010","4.026,69","4.038,89","4.056,79","4.019,36","","-0,34%"
"24.08.2010","4.040,63","4.090,56","4.090,56","4.036,80","","-1,43%"
"23.08.2010","4.099,38","4.109,43","4.111,89","4.095,65","","-0,20%"
"20.08.2010","4.107,52","4.140,25","4.142,08","4.099,33","","-0,89%"
"19.08.2010","4.144,59","4.169,90","4.169,90","4.140,19","","-0,34%"
"18.08.2010","4.158,82","4.160,72","4.161,41","4.143,62","","0,08%"
"17.08.2010","4.155,68","4.124,05","4.155,68","4.123,86","","0,91%"
"16.08.2010","4.118,03","4.121,34","4.138,84","4.111,44","","-0,02%"
"13.08.2010","4.118,79","4.134,13","4.140,22","4.116,29","","0,02%"
"12.08.2010","4.118,16","4.119,37","4.141,33","4.105,88","","-0,27%"
"11.08.2010","4.129,16","4.204,88","4.204,88","4.129,16","","-1,87%"
"10.08.2010","4.207,92","4.233,35","4.235,38","4.202,29","","-0,67%"
"09.08.2010","4.236,45","4.216,39","4.242,73","4.216,39","","0,79%"
"06.08.2010","4.203,41","4.212,34","4.224,62","4.195,87","","-0,03%"
"05.08.2010","4.204,71","4.217,62","4.228,96","4.203,25","","-0,16%"
"04.08.2010","4.211,40","4.222,55","4.224,04","4.202,79","","-0,37%"
"03.08.2010","4.226,86","4.212,50","4.227,92","4.204,07","","0,44%"
"02.08.2010","4.208,19","4.157,81","4.208,19","4.157,81","","1,37%"
"30.07.2010","4.151,15","4.145,65","4.151,34","4.133,18","","0,26%"
"29.07.2010","4.140,50","4.158,04","4.166,77","4.140,47","","-0,15%"
"28.07.2010","4.146,87","4.160,30","4.161,10","4.131,31","","-0,19%"
"27.07.2010","4.154,68","4.129,52","4.170,88","4.129,52","","0,87%"
"26.07.2010","4.119,00","4.071,73","4.119,00","4.071,73","","1,71%"
"23.07.2010","4.049,72","4.038,86","4.070,10","4.035,14","","0,34%"
"22.07.2010","4.036,05","3.983,46","4.036,05","3.975,44","","1,11%"
"21.07.2010","3.991,86","3.950,59","3.991,86","3.950,54","","1,47%"
"20.07.2010","3.934,22","3.947,60","3.959,68","3.928,19","","-0,31%"
"19.07.2010","3.946,53","3.963,82","3.971,91","3.946,53","","-0,54%"
"16.07.2010","3.967,97","3.988,86","4.006,98","3.967,97","","-0,35%"
"15.07.2010","3.982,07","3.995,56","4.012,13","3.980,93","","-0,34%"
"14.07.2010","3.995,49","4.029,06","4.031,37","3.989,14","","-0,67%"
"13.07.2010","4.022,33","3.995,64","4.025,72","3.995,64","","0,66%"
"12.07.2010","3.996,06","3.989,76","4.001,20","3.983,58","","0,35%"
"09.07.2010","3.982,06","3.965,19","3.982,39","3.962,87","","0,37%"
"08.07.2010","3.967,19","3.956,44","3.967,59","3.952,32","","0,65%"
"07.07.2010","3.941,59","3.917,88","3.941,59","3.897,35","","0,42%"
"06.07.2010","3.925,18","3.886,27","3.925,20","3.886,27","","1,37%"
"05.07.2010","3.872,10","3.877,30","3.881,02","3.870,45","","-0,08%"
"02.07.2010","3.875,03","3.852,99","3.881,65","3.852,99","","1,17%"
"01.07.2010","3.830,27","3.897,11","3.897,11","3.830,27","","-1,89%"
"30.06.2010","3.904,22","3.891,50","3.921,81","3.882,05","","0,32%"
"29.06.2010","3.891,93","3.997,29","3.997,36","3.890,91","","-2,75%"
"28.06.2010","4.001,96","3.957,60","4.001,96","3.957,60","","1,37%"
"25.06.2010","3.947,71","3.983,96","3.991,76","3.947,71","","-0,72%"
"24.06.2010","3.976,37","4.017,17","4.023,33","3.971,07","","-0,64%"
"23.06.2010","4.001,93","3.997,56","4.021,29","3.997,44","","-0,19%"
"22.06.2010","4.009,71","3.978,82","4.009,71","3.964,95","","0,82%"
"21.06.2010","3.977,19","3.962,84","3.987,44","3.962,84","","1,14%"
"18.06.2010","3.932,20","3.943,01","3.948,26","3.929,35","","-0,10%"
"17.06.2010","3.936,27","3.929,72","3.941,86","3.918,93","","0,39%"
"16.06.2010","3.920,95","3.944,18","3.951,10","3.915,17","","-0,43%"
"15.06.2010","3.937,82","3.926,11","3.942,18","3.912,46","","0,07%"
"14.06.2010","3.935,05","3.895,90","3.935,05","3.895,90","","1,30%"
"11.06.2010","3.884,70","3.894,25","3.894,75","3.866,92","","0,03%"
"10.06.2010","3.883,68","3.829,91","3.883,68","3.823,97","","1,29%"
"09.06.2010","3.834,25","3.807,27","3.834,25","3.803,50","","1,05%"
"08.06.2010","3.794,49","3.840,38","3.846,63","3.789,46","","-0,86%"
"07.06.2010","3.827,56","3.838,49","3.866,53","3.823,95","","-0,88%"
"04.06.2010","3.861,60","3.909,93","3.918,57","3.856,65","","-1,19%"
"03.06.2010","3.908,22","3.889,39","3.908,22","3.888,72","","1,09%"
"02.06.2010","3.865,94","3.857,25","3.870,15","3.831,47","","-0,13%"
"01.06.2010","3.870,91","3.854,67","3.870,91","3.812,96","","0,42%"
"31.05.2010","3.854,79","3.817,62","3.857,14","3.817,62","","1,13%"
"28.05.2010","3.811,64","3.810,44","3.823,93","3.800,49","","0,51%"
"27.05.2010","3.792,46","3.701,35","3.792,46","3.700,13","","2,52%"
"26.05.2010","3.699,23","3.622,01","3.717,23","3.622,01","","2,59%"
"25.05.2010","3.605,91","3.693,76","3.693,76","3.605,91","","-3,16%"
"24.05.2010","3.723,57","3.740,27","3.757,73","3.716,67","","0,00%"
"21.05.2010","3.723,63","3.735,80","3.740,62","3.690,21","","-0,63%"
"20.05.2010","3.747,10","3.829,02","3.842,43","3.738,64","","-2,00%"
"19.05.2010","3.823,52","3.882,23","3.882,23","3.822,64","","-1,67%"
"18.05.2010","3.888,44","3.877,17","3.898,86","3.876,49","","0,54%"
"17.05.2010","3.867,57","3.877,84","3.888,66","3.849,39","","-0,39%"
"14.05.2010","3.882,78","3.962,77","3.964,77","3.873,63","","-2,06%"
"13.05.2010","3.964,44","3.963,26","3.983,73","3.958,67","","0,40%"
"12.05.2010","3.948,73","3.857,10","3.948,73","3.856,70","","2,50%"
"11.05.2010","3.852,43","3.866,75","3.866,75","3.814,01","","-0,33%"
"10.05.2010","3.865,27","3.714,93","3.865,27","3.714,93","","4,80%"
"07.05.2010","3.688,31","3.731,74","3.772,90","3.688,31","","-2,85%"
"06.05.2010","3.796,52","3.825,02","3.857,68","3.796,38","","-1,08%"
"05.05.2010","3.838,15","3.909,95","3.913,91","3.829,60","","-1,75%"
"04.05.2010","3.906,34","4.025,31","4.030,37","3.906,08","","-3,00%"
"03.05.2010","4.027,03","3.979,13","4.027,03","3.970,56","","1,31%"
"30.04.2010","3.974,78","3.991,10","4.007,89","3.965,54","","0,05%"
"29.04.2010","3.972,99","3.921,92","3.972,99","3.920,50","","1,15%"
"28.04.2010","3.927,96","3.999,02","3.999,02","3.885,31","","-2,81%"
"27.04.2010","4.041,51","4.122,86","4.126,43","4.041,22","","-1,90%"
"26.04.2010","4.119,69","4.091,10","4.119,69","4.091,10","","0,69%"
"23.04.2010","4.091,39","4.049,25","4.091,48","4.032,05","","1,42%"
"22.04.2010","4.034,17","4.067,03","4.068,97","4.032,25","","-0,63%"
"21.04.2010","4.059,88","4.073,90","4.082,26","4.051,60","","-0,06%"
"20.04.2010","4.062,24","4.012,50","4.062,24","4.012,50","","1,65%"
"19.04.2010","3.996,41","4.016,52","4.016,52","3.985,55","","-0,68%"
"16.04.2010","4.023,89","4.046,09","4.053,31","4.023,26","","-0,71%"
"15.04.2010","4.052,67","4.035,06","4.053,23","4.026,25","","0,58%"
"14.04.2010","4.029,18","3.992,13","4.029,18","3.992,13","","0,87%"
"13.04.2010","3.994,59","4.000,41","4.012,41","3.994,59","","-0,21%"
"12.04.2010","4.002,82","4.013,67","4.026,92","4.002,82","","0,03%"
"09.04.2010","4.001,45","3.979,46","4.001,45","3.979,46","","0,67%"
"08.04.2010","3.974,98","3.987,72","3.987,72","3.962,72","","-0,44%"
"07.04.2010","3.992,50","3.973,31","3.999,11","3.973,31","","0,53%"
"06.04.2010","3.971,29","3.961,84","3.972,12","3.951,92","","0,62%"
"01.04.2010","3.946,87","3.900,46","3.958,01","3.896,08","","1,31%"
"31.03.2010","3.895,95","3.894,44","3.912,41","3.883,41","","-0,05%"
"30.03.2010","3.897,95","3.880,48","3.897,95","3.865,27","","0,78%"
"29.03.2010","3.867,82","3.844,73","3.868,77","3.841,79","","0,91%"
"26.03.2010","3.832,91","3.831,10","3.839,26","3.822,39","","0,05%"
"25.03.2010","3.831,00","3.805,00","3.833,38","3.803,71","","0,73%"
"24.03.2010","3.803,39","3.794,16","3.805,33","3.782,60","","0,36%"
"23.03.2010","3.789,80","3.774,69","3.794,26","3.770,80","","0,33%"
"22.03.2010","3.777,47","3.777,72","3.780,82","3.758,25","","-0,22%"
"19.03.2010","3.785,76","3.801,97","3.805,17","3.774,04","","-0,23%"
"18.03.2010","3.794,33","3.792,91","3.809,29","3.792,24","","-0,30%"
"17.03.2010","3.805,92","3.810,45","3.816,36","3.799,09","","-0,11%"
"16.03.2010","3.809,99","3.796,89","3.810,50","3.794,97","","0,31%"
"15.03.2010","3.798,25","3.778,39","3.798,25","3.770,10","","0,55%"
"12.03.2010","3.777,30","3.782,57","3.791,87","3.772,43","","0,06%"
"11.03.2010","3.774,94","3.784,38","3.784,61","3.761,71","","-0,21%"
"10.03.2010","3.782,80","3.767,44","3.787,65","3.764,95","","0,33%"
"09.03.2010","3.770,23","3.766,85","3.783,06","3.753,43","","0,00%"
"08.03.2010","3.770,05","3.757,82","3.780,71","3.752,85","","0,56%"
"05.03.2010","3.748,97","3.722,00","3.752,13","3.719,50","","0,82%"
"04.03.2010","3.718,56","3.718,39","3.730,39","3.713,25","","-0,18%"
"03.03.2010","3.725,38","3.706,25","3.725,38","3.692,08","","0,35%"
"02.03.2010","3.712,35","3.677,16","3.712,35","3.673,03","","0,94%"
"01.03.2010","3.677,76","3.667,52","3.683,93","3.664,29","","0,42%"
"26.02.2010","3.662,26","3.640,80","3.662,26","3.638,71","","0,93%"
"25.02.2010","3.628,36","3.647,74","3.647,74","3.625,09","","-0,67%"
"24.02.2010","3.652,83","3.656,84","3.660,07","3.637,69","","0,01%"
"23.02.2010","3.652,34","3.689,51","3.699,62","3.647,70","","-0,84%"
"22.02.2010","3.683,12","3.668,90","3.686,86","3.668,90","","0,78%"
"19.02.2010","3.654,51","3.637,44","3.657,07","3.625,75","","0,31%"
"18.02.2010","3.643,14","3.644,96","3.651,74","3.636,39","","-0,05%"
"17.02.2010","3.645,08","3.602,40","3.645,08","3.602,40","","1,56%"
"16.02.2010","3.588,92","3.592,46","3.605,24","3.582,10","","0,12%"
"15.02.2010","3.584,77","3.567,83","3.589,67","3.564,32","","0,61%"
"12.02.2010","3.563,07","3.563,08","3.572,01","3.548,84","","0,14%"
"11.02.2010","3.558,22","3.573,95","3.586,63","3.549,16","","-0,23%"
"10.02.2010","3.566,40","3.567,52","3.580,85","3.561,82","","0,26%"
"09.02.2010","3.557,03","3.551,76","3.561,35","3.546,04","","0,21%"
"08.02.2010","3.549,53","3.578,57","3.589,68","3.538,54","","-0,74%"
"05.02.2010","3.575,85","3.614,50","3.614,50","3.566,14","","-1,46%"
"04.02.2010","3.628,74","3.692,50","3.695,68","3.628,74","","-1,48%"
"03.02.2010","3.683,31","3.709,48","3.713,24","3.681,52","","-0,48%"
"02.02.2010","3.701,03","3.673,48","3.701,50","3.673,48","","0,88%"
"01.02.2010","3.668,68","3.660,59","3.675,64","3.653,95","","0,00%"
"29.01.2010","3.668,51","3.661,51","3.677,92","3.656,13","","0,45%"
"28.01.2010","3.652,05","3.647,06","3.668,47","3.647,06","","0,48%"
"27.01.2010","3.634,58","3.632,06","3.638,43","3.613,35","","0,18%"
"26.01.2010","3.628,21","3.624,01","3.632,89","3.604,45","","0,04%"
"25.01.2010","3.626,91","3.601,31","3.635,62","3.591,35","","0,11%"
"22.01.2010","3.622,81","3.677,82","3.678,87","3.622,68","","-1,97%"
"21.01.2010","3.695,78","3.739,76","3.740,42","3.691,69","","-0,95%"
"20.01.2010","3.731,31","3.755,35","3.771,34","3.731,31","","-0,73%"
"19.01.2010","3.758,59","3.732,62","3.758,59","3.713,80","","0,67%"
"18.01.2010","3.733,40","3.751,55","3.751,55","3.732,79","","-0,53%"
"15.01.2010","3.753,29","3.751,44","3.770,91","3.729,44","","0,29%"
"14.01.2010","3.742,58","3.734,34","3.750,76","3.734,34","","0,53%"
"13.01.2010","3.723,00","3.695,25","3.724,83","3.681,63","","0,69%"
"12.01.2010","3.697,65","3.743,79","3.749,50","3.693,58","","-1,23%"
"11.01.2010","3.743,62","3.712,45","3.750,34","3.711,56","","1,43%"
"08.01.2010","3.690,89","3.673,88","3.696,48","3.673,74","","0,64%"
"07.01.2010","3.667,49","3.648,46","3.667,77","3.640,61","","0,31%"
"06.01.2010","3.656,18","3.627,06","3.656,76","3.626,63","","0,89%"
"05.01.2010","3.624,08","3.624,47","3.630,75","3.613,20","","0,02%"
"04.01.2010","3.623,28","3.557,19","3.623,28","3.556,98","","2,09%"
"30.12.2009","3.549,02","3.544,88","3.553,24","3.519,34","","0,26%"
"29.12.2009","3.539,90","3.545,11","3.548,59","3.537,89","","-0,22%"
"28.12.2009","3.547,70","3.563,28","3.563,28","3.542,66","","-0,19%"
"23.12.2009","3.554,37","3.560,27","3.566,43","3.546,30","","-0,21%"
"22.12.2009","3.561,79","3.547,10","3.563,20","3.543,54","","0,40%"
"21.12.2009","3.547,67","3.562,33","3.562,33","3.545,70","","-0,22%"
"18.12.2009","3.555,37","3.551,77","3.566,12","3.545,65","","0,22%"
"17.12.2009","3.547,55","3.553,11","3.565,40","3.540,58","","-0,36%"
"16.12.2009","3.560,32","3.535,11","3.561,26","3.531,86","","0,68%"
"15.12.2009","3.536,14","3.533,81","3.538,67","3.520,26","","0,25%"
"14.12.2009","3.527,30","3.535,65","3.543,85","3.522,19","","0,18%"
"11.12.2009","3.521,04","3.499,00","3.525,19","3.498,98","","0,61%"
"10.12.2009","3.499,66","3.468,15","3.499,66","3.463,92","","0,97%"
"09.12.2009","3.466,04","3.482,78","3.482,78","3.462,95","","-0,63%"
"08.12.2009","3.487,90","3.518,26","3.518,26","3.468,80","","-0,85%"
"07.12.2009","3.517,69","3.514,97","3.524,87","3.509,35","","0,05%"
"04.12.2009","3.516,01","3.512,97","3.524,18","3.492,40","","0,11%"
"03.12.2009","3.512,03","3.518,54","3.540,07","3.512,03","","-0,10%"
"02.12.2009","3.515,55","3.490,79","3.515,55","3.486,24","","0,55%"
"01.12.2009","3.496,46","3.471,07","3.504,75","3.455,67","","1,11%"
"30.11.2009","3.458,15","3.513,10","3.514,69","3.458,15","","-1,60%"
"27.11.2009","3.514,24","3.437,25","3.514,24","3.410,24","","1,46%"
"26.11.2009","3.463,80","3.547,83","3.547,83","3.462,00","","-2,39%"
"25.11.2009","3.548,56","3.567,92","3.572,53","3.544,29","","-0,29%"
"24.11.2009","3.558,78","3.551,04","3.558,78","3.534,72","","0,52%"
"23.11.2009","3.540,49","3.535,16","3.545,08","3.519,82","","0,56%"
"20.11.2009","3.520,91","3.541,46","3.554,37","3.520,67","","-0,43%"
"19.11.2009","3.536,25","3.568,04","3.577,35","3.536,25","","-0,98%"
"18.11.2009","3.571,08","3.570,57","3.580,34","3.561,09","","0,23%"
"17.11.2009","3.562,77","3.557,32","3.562,77","3.549,14","","0,20%"
"16.11.2009","3.555,77","3.514,56","3.555,77","3.514,56","","1,50%"
"13.11.2009","3.503,06","3.502,61","3.510,17","3.491,84","","0,39%"
"12.11.2009","3.489,36","3.482,77","3.505,04","3.473,68","","0,15%"
"11.11.2009","3.484,15","3.494,37","3.496,63","3.477,20","","-0,02%"
"10.11.2009","3.484,70","3.505,48","3.513,09","3.481,30","","-0,34%"
"09.11.2009","3.496,46","3.476,59","3.497,33","3.476,33","","0,90%"
"06.11.2009","3.465,16","3.436,81","3.465,16","3.433,44","","1,09%"
"05.11.2009","3.427,73","3.394,99","3.430,13","3.375,58","","0,92%"
"04.11.2009","3.396,51","3.360,76","3.401,21","3.360,76","","1,15%"
"03.11.2009","3.357,95","3.397,30","3.402,35","3.351,96","","-1,21%"
"02.11.2009","3.399,07","3.420,32","3.420,32","3.391,17","","-0,62%"
"30.10.2009","3.420,13","3.441,73","3.459,01","3.415,42","","-0,30%"
"29.10.2009","3.430,52","3.358,04","3.430,52","3.337,36","","1,56%"
"28.10.2009","3.377,83","3.477,58","3.478,59","3.374,45","","-2,96%"
"27.10.2009","3.480,85","3.537,49","3.538,84","3.480,85","","-1,52%"
"26.10.2009","3.534,69","3.577,20","3.581,96","3.533,17","","-1,08%"
"23.10.2009","3.573,42","3.584,05","3.596,36","3.562,97","","0,34%"
"22.10.2009","3.561,48","3.589,63","3.589,63","3.543,12","","-1,14%"
"21.10.2009","3.602,41","3.634,21","3.641,04","3.591,62","","-0,77%"
"20.10.2009","3.630,48","3.632,21","3.636,81","3.610,80","","0,12%"
"19.10.2009","3.625,95","3.610,28","3.636,64","3.610,19","","1,01%"
"16.10.2009","3.589,52","3.614,45","3.629,13","3.583,97","","-0,52%"
"15.10.2009","3.608,14","3.611,77","3.614,02","3.590,50","","0,10%"
"14.10.2009","3.604,53","3.588,89","3.604,53","3.582,89","","0,89%"
"13.10.2009","3.572,63","3.589,77","3.594,57","3.569,29","","-0,66%"
"12.10.2009","3.596,26","3.577,07","3.596,26","3.571,77","","0,97%"
